,학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,소재지주소
4866,B000006867,암태초등학교,초등학교,1923-04-18,공립,본교,운영,전라남도 신안군 암태면 단고리  266,전라남도 신안군 암태면 장단고길  56,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.8292911,126.107778,2017-09-05,전라남도 신안군 암태면
4867,B000006868,자은초등학교,초등학교,1926-12-01,공립,본교,운영,전라남도 신안군 자은면 구영리  44,전라남도 신안군 자은면 구영1길  44-36,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.8910551,126.0482572,2017-09-05,전라남도 신안군 자은면
4868,B000006869,비금동초등학교,초등학교,1940-04-19,공립,본교,운영,전라남도 신안군 비금면 용소리  238-2,전라남도 신안군 비금면 용소길  181-6,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.784497200000004,125.97995690000002,2017-09-05,전라남도 신안군 비금면
4869,B000006870,비금초등학교,초등학교,1925-10-07,공립,본교,운영,전라남도 신안군 비금면 신원리  93,전라남도 신안군 비금면 유옥우길  21-4,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.7604469,125.92082579999999,2017-09-05,전라남도 신안군 비금면
4870,B000006871,도초초등학교,초등학교,1931-12-10,공립,본교,운영,전라남도 신안군 도초면 수항리  620,전라남도 신안군 도초면 시목길  10-14,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.690510499999995,125.96327690000001,2017-09-05,전라남도 신안군 도초면
4871,B000006872,가거도초등학교,초등학교,1949-04-17,공립,본교,운영,전라남도 신안군 흑산면 가거도리  271-1,전라남도 신안군 흑산면 가거도길  18-31,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.05292070000001,125.1304311,2017-09-05,전라남도 신안군 흑산면
4872,B000006873,흑산초등학교,초등학교,1932-06-10,공립,본교,운영,전라남도 신안군 흑산면 진리  477,전라남도 신안군 흑산면 진마을길  12-13,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.6844858,125.42723970000002,2017-09-05,전라남도 신안군 흑산면
4873,B000006874,장산초등학교,초등학교,1932-05-06,공립,본교,운영,전라남도 신안군 장산면 대리  93-1,전라남도 신안군 장산면 장산로  277,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.637878799999996,126.1444356,2017-09-05,전라남도 신안군 장산면
4874,B000006875,하의초등학교,초등학교,1934-05-12,공립,본교,운영,전라남도 신안군 하의면 웅곡리  166-2,전라남도 신안군 하의면 안곰실길  33,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.5998472,126.035896,2017-09-05,전라남도 신안군 하의면
4875,B000006876,신의초등학교,초등학교,1969-03-05,공립,본교,운영,전라남도 신안군 신의면 상태동리  29-5,전라남도 신안군 신의면 신의로  710-57,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.5829401,126.09577560000001,2017-09-05,전라남도 신안군 신의면
4876,B000006881,증도초등학교소악분교장,초등학교,1966-05-10,공립,분교,운영,전라남도 신안군 증도면 병풍리  산228-2,전라남도 신안군 증도면 소악길  87,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.9238549,126.196051,2017-09-05,전라남도 신안군 증도면
4877,B000006883,안좌초등학교자라분교장,초등학교,1946-12-03,공립,분교,운영,전라남도 신안군 안좌면 자라리  227,전라남도 신안군 안좌면 자라도길  37,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.688327,126.17005690000002,2017-09-05,전라남도 신안군 안좌면
4878,B000006886,흑산초등학교영산분교장,초등학교,1957-04-01,공립,분교,운영,전라남도 신안군 흑산면 영산리  산60-2,전라남도 신안군 흑산면 영산길  19-18,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.652476799999995,125.46864520000001,2017-09-05,전라남도 신안군 흑산면
4879,B000006887,흑산초등학교장도분교장,초등학교,1955-03-10,공립,분교,운영,전라남도 신안군 흑산면 비리  산107-2,,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.6783295,125.3785608,2017-09-05,전라남도 신안군 흑산면
4880,B000006889,흑산초등학교흑산북분교장,초등학교,1947-03-05,공립,분교,운영,전라남도 신안군 흑산면 다물도리  13-1,전라남도 신안군 흑산면 다물도길  101,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.73797570000001,125.4449929,2017-09-05,전라남도 신안군 흑산면
4881,B000006890,흑산초등학교흑산동분교장,초등학교,1950-04-18,공립,분교,운영,전라남도 신안군 흑산면 수리  177,전라남도 신안군 흑산면 김이수길  29-2,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.731539,125.4647307,2017-09-05,전라남도 신안군 흑산면
4882,B000006891,흑산초등학교홍도분교장,초등학교,1949-06-12,공립,분교,운영,전라남도 신안군 흑산면 홍도리  95-2,전라남도 신안군 흑산면 홍도1길  53,8490000,전라남도교육청,8721000,전라남도신안교육지원청,2013-11-29,,34.685537200000006,125.1923585,2017-09-05,전라남도 신안군 흑산면
4883,B000005686,염작초등학교,초등학교,1967-03-01,공립,본교,운영,충청남도 아산시 둔포면 석곡리  129-12,,8140000,충청남도교육청,8181000,충청남도아산교육지원청,2013-11-29,,36.9163365,127.0666031,2017-09-05,충청남도 아산시 둔포면
